,keywords,number_of_times_word_appeared,tf,idf,tf_idf
699,in,346,0.013970202285298987,-5.846438775057725,-0.08167593233617204
952,at,246,0.009932571567004481,-5.5053315359323625,-0.054682099480734894
854,on,243,0.009811442645455647,-5.493061443340548,-0.0538948572992996
331,re,233,0.009407679573626196,-5.4510384535657,-0.05128162311466096
948,an,191,0.007711874671942504,-5.25227342804663,-0.040504874419869434
25,to,179,0.007227358985747163,-5.187385805840755,-0.03749109941638047
865,or,167,0.006742843299551823,-5.117993812416755,-0.034509830285202006
65,the,153,0.006177574998990592,-5.030437921392435,-0.031075907537168112
951,as,152,0.006137198691807648,-5.0238805208462765,-0.030832552960335692
814,Java,126,0.005087414705051076,-4.836281906951478,-0.02460417169119741
692,it,114,0.004602899018855735,-4.736198448394496,-0.02180024319122108
691,is,110,0.004441393790123955,-4.700480365792417,-0.020876684307230015
651,int,95,0.0038357491823797795,-4.553876891600541,-0.017467529563614945
859,of,73,0.0029474704243549884,-4.290459441148391,-0.012646002309679515
624,and,71,0.0028667178099890983,-4.2626798770413155,-0.012219900321796479
622,com,64,0.002584083659708483,-4.1588830833596715,-0.01074690181834776
2,all,60,0.002422578430976703,-4.0943445622221,-0.009918870825426012
575,are,60,0.002422578430976703,-4.0943445622221,-0.009918870825426012
962,no,58,0.002341825816610813,-4.060443010546419,-0.009508850268974535
915,hi,56,0.002261073202244923,-4.02535169073515,-0.009101614837532539
96,new,52,0.0020995679735131426,-3.951243718581427,-0.008295904767078541
830,for,50,0.0020188153591472525,-3.912023005428146,-0.007897652128695736
856,obj,50,0.0020188153591472525,-3.912023005428146,-0.007897652128695736
483,The,50,0.0020188153591472525,-3.912023005428146,-0.007897652128695736
471,Basics,49,0.0019784390519643072,-3.891820298110627,-0.007699729261009436
476,object,47,0.0018976864375984173,-3.8501476017100584,-0.007306372886517251
844,be,46,0.0018573101304154723,-3.828641396489095,-0.0071109744514272375
971,you,46,0.0018573101304154723,-3.828641396489095,-0.0071109744514272375
3,code,43,0.0017361812088666371,-3.7612001156935624,-0.006530124963654184
881,But,42,0.001695804901683692,-3.7376696182833684,-0.006338358459559151
475,Button,41,0.001655428594500747,-3.713572066704308,-0.006147553386961547
485,class,40,0.001615052287317802,-3.6888794541139363,-0.005957733200006358
97,method,38,0.001534299672951912,-3.6375861597263857,-0.005581147255202595
431,applet,38,0.001534299672951912,-3.6375861597263857,-0.005581147255202595
286,not,36,0.0014535470585860218,-3.58351893845611,-0.005208813412380182
529,do,33,0.0013324181370371866,-3.4965075614664802,-0.0046588100911856035
142,use,32,0.0012920418298542416,-3.4657359027997265,-0.004477875757644901
231,data,31,0.0012516655226712965,-3.4339872044851463,-0.004298203389148445
439,Data,31,0.0012516655226712965,-3.4339872044851463,-0.004298203389148445
853,by,30,0.0012112892154883515,-3.4011973816621555,-0.004119833708154588
415,that,30,0.0012112892154883515,-3.4011973816621555,-0.004119833708154588
387,array,28,0.0011305366011224614,-3.332204510175204,-0.003767179161178411
234,All,28,0.0011305366011224614,-3.332204510175204,-0.003767179161178411
702,if,28,0.0011305366011224614,-3.332204510175204,-0.003767179161178411
887,your,27,0.0010901602939395163,-3.295836866004329,-0.003592990486619974
154,call,27,0.0010901602939395163,-3.295836866004329,-0.003592990486619974
417,serve,25,0.0010094076795736262,-3.2188758248682006,-0.0032491579772158524
556,public,24,0.0009690313723906812,-3.1780538303479458,-0.003079633864753531
748,In,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
980,jGuru,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
339,Rights,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
236,Reserved,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
109,objects,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
842,refer,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
625,point,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
27,program,21,0.000847902450841846,-3.044522437723423,-0.002581458036588682
829,String,20,0.000807526143658901,-2.995732273553991,-0.002419132130297566
158,type,20,0.000807526143658901,-2.995732273553991,-0.002419132130297566
193,example,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
380,one,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
441,pre,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
359,Applet,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
26,init,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
754,comment,18,0.0007267735292930109,-2.890371757896165,-0.00210064568345504
106,here,18,0.0007267735292930109,-2.890371757896165,-0.00210064568345504
858,ack,17,0.0006863972221100658,-2.833213344056216,-0.001944709769005357
260,pointer,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
33,allocate,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
244,so,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
657,define,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
570,For,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
41,void,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
280,return,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
18,const,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
69,ten,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
393,reference,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
355,language,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
156,memory,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
340,This,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
187,can,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
80,port,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
912,but,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
846,run,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
710,make,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
233,types,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
241,element,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
219,may,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
781,has,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
936,time,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
873,No,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
11,comments,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
456,null,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
922,with,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
883,operator,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
776,param,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
36,string,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
209,end,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
889,methods,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
320,out,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
605,BasicsJava,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
440,browser,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
573,up,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
182,this,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
457,any,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
712,same,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
944,defined,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
189,following,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
864,runtime,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
953,file,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
908,form,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
145,would,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
679,value,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
428,expr,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
966,application,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
399,system,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
989,variable,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
806,boolean,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
869,primitive,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
614,ill,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
851,java,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
675,To,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
836,does,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
151,two,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
276,main,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
215,parameter,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
940,called,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
453,have,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
224,collection,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
265,style,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
700,You,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
741,programs,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
390,size,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
351,byte,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
882,ints,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
778,source,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
354,definition,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
964,when,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
794,bit,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
894,there,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
893,applets,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
1003,An,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
942,constant,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
335,cause,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
226,applications,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
840,foo,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
408,bits,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
676,these,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
305,button,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
797,OK,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
872,garbage,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
561,contain,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
230,such,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
977,draw,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
652,literal,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
125,via,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
638,table,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
586,state,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
100,args,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
68,portable,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
464,instance,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
293,execute,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
429,pointers,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
848,equivalent,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
180,thread,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
107,automatic,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
516,parameters,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
917,heap,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
496,Array,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
216,Stack,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
557,arrays,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
499,width,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
295,name,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
733,calloc,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
454,need,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
205,create,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
285,they,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
770,struct,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
143,from,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
825,sizeof,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
21,Object,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
290,nor,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
316,static,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
211,write,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
39,very,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
251,executed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
321,predefined,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
996,Primitive,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
726,effect,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
522,should,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
542,import,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
621,threads,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
524,only,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
978,elements,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
721,used,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
201,tag,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
377,variables,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
413,passed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
487,don,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
631,allocates,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
361,length,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
630,way,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
694,equal,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
813,because,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
939,similar,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
357,where,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
450,It,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
932,signed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
669,p2,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
798,like,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
793,using,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
400,while,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
405,statement,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
568,set,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
554,instantiate,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
81,compile,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
970,test,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
92,version,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
168,p1,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
967,other,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
264,machine,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
271,platform,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
634,Note,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
1005,As,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
649,strings,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
481,definitions,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
852,super,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
736,stack,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
421,copy,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
294,document,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
750,Expressions,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
662,else,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
60,println,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
673,look,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
732,animations,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
395,start,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
955,NULL,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
166,initial,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
343,free,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
89,getParameter,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
920,line,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
686,pointernull,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
820,library,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
730,uses,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
176,must,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
423,semantics,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
368,view,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
913,System,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
123,makes,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
607,WWW,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
925,Garbage,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
671,exception,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
596,extend,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
805,true,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
902,Integer,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
590,drawn,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
221,clone,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
16,consider,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
114,convert,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
532,invoke,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
467,Graphics,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
105,We,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
537,stop,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
362,place,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
402,paint,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
325,space,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
547,compiler,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
950,How,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
